date,Positives,Deaths
20200304,118,10
20200305,176,11
20200306,223,14
20200307,341,16
20200308,417,18
20200309,584,22
20200310,778,24
20200311,1054,27
20200312,1315,36
20200313,1922,39
20200314,2450,49
20200315,3173,60
20200316,4019,71
20200317,5722,90
20200318,7730,112
20200319,11719,160
20200320,17033,219
20200321,23197,272
20200322,31879,398
20200323,42152,471
20200324,51954,675
20200325,63928,900
20200326,80735,1163
20200327,99413,1530
20200328,118234,1965
20200329,139061,2428
20200330,160530,2939
20200331,184770,3746
20200401,210770,4700
20200402,239009,5784
